dammit|negative
tampering|negative
jazzed|positive|
#attfail|negative|negative|
#fail|negative|negative|
#fuck|negative|negative|
whatever|negative|negative|
whine|negative|negative|
whining|negative|negative|
whiny|negative|negative|
whoa|positive|positive|
wholeheartedly|positive|positive|
whooa|positive|positive|
whoooa|positive|positive|
whore|negative|negative|
whores|negative|negative|
wickedly|negative|negative|
wickedness|negative|negative|
wieldy|positive|positive|
wiles|negative|negative|
willingly|positive|positive|
wimpy|negative|negative|
win|neutral|positive|
windfall|positive|positive|
winner|neutral|positive|
winning|positive|positive|
wins|positive|positive|
wobble|negative|negative|
wobbled|negative|negative|
wobbles|negative|negative|
woe|negative|negative|
woefully|negative|negative|
womanizer|negative|negative|
womanizing|negative|negative|
won|positive|positive|
wonder|neutral|positive|
wonderful|positive|positive|
wonderfull|positive|positive|
wonderfully|positive|positive|
wonderously|positive|positive|
wonders|positive|positive|
wondrous|positive|positive|
wonerful|positive|positive|
work|positive|positive|
worked|positive|positive|
works|positive|positive|
worrier|negative|negative|
worrying|negative|negative|
worryingly|negative|negative|
worsen|negative|negative|
worsening|negative|negative|
worthlessly|negative|negative|
worthlessness|negative|negative|
would|neutral|neutral|
wow|positive|positive|
wowed|positive|positive|
wowing|positive|positive|
wows|positive|positive|
wrath|negative|negative|
wreak|negative|negative|
wreaked|negative|negative|
wreaks|negative|negative|
wretchedly|negative|negative|
wretchedness|negative|negative|
wrinkle|negative|negative|
wrinkled|negative|negative|
wrinkles|negative|negative|
wrip|negative|negative|
wripped|negative|negative|
wripping|negative|negative|
wrong|negative|negative|
wrongfully|negative|negative|
wrongly|negative|negative|
yay|positive|positive|
Yay|positive|positive|
yeah|neutral|neutral|
yearningly|positive|positive|
yep|positive|positive|
yes|positive|positive|
yikes|negative|negative|
yucky|negative|negative|
yummy|positive|positive|
zap|negative|negative|
zapped|negative|negative|
zaps|negative|negative|
zeal|positive|positive|
zealot|negative|negative|
zealously|negative|negative|
zenith|positive|positive|
zest|positive|positive|
zippy|positive|positive|
zombie|negative|negative|
